Visitor_id,"Visitor Name",Performance_id,"Average Rating"
120,"Molly Morales",2,4.60
120,"Molly Morales",6,2.00
120,"Molly Morales",7,3.00
120,"Molly Morales",9,1.40
120,"Molly Morales",18,4.60
120,"Molly Morales",38,4.60
120,"Molly Morales",40,3.40
120,"Molly Morales",41,2.00
120,"Molly Morales",43,3.40
120,"Molly Morales",45,3.20
120,"Molly Morales",52,1.20
120,"Molly Morales",53,1.40
120,"Molly Morales",61,4.00
120,"Molly Morales",69,2.00
120,"Molly Morales",77,4.60
120,"Molly Morales",78,3.00
120,"Molly Morales",81,2.40
120,"Molly Morales",83,3.40
120,"Molly Morales",89,3.00
120,"Molly Morales",97,1.40
120,"Molly Morales",100,1.20
120,"Molly Morales",110,1.20
120,"Molly Morales",129,3.20
120,"Molly Morales",139,3.60
120,"Molly Morales",155,5.00
120,"Molly Morales",165,3.40
120,"Molly Morales",169,3.60
120,"Molly Morales",171,3.40
120,"Molly Morales",190,1.60
120,"Molly Morales",191,5.00
120,"Molly Morales",218,4.20
